data,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2018-11-20,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,1.0,-13.119000000000002,-41353.0,17.0,PARNA DA CHAPADA DA DIAMANTINA
2018-10-12,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,50,0.0,1.0,-12438.0,-41299.0,85.9,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,22,0.0,1.0,-13181.0,-41227.0,50.1,PARNA DA CHAPADA DA DIAMANTINA
2018-10-12,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,51,0.0,1.0,-12428.0,-41.3,37.9,PARNA DA CHAPADA DA DIAMANTINA
2018-08-15,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0.0,1.0,-12616.0,-41553.0,23.1,PARNA DA CHAPADA DA DIAMANTINA
2018-03-01,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0.0,1.0,-12807.0,-41363.0,75.1,PARNA DA CHAPADA DA DIAMANTINA
2018-04-26,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12.994000000000002,-41541.0,13.3,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,23,0.0,1.0,-13179.0,-41208.0,51.7,PARNA DA CHAPADA DA DIAMANTINA
2018-03-01,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0.0,1.0,-12807.0,-41359.0,66.8,PARNA DA CHAPADA DA DIAMANTINA
2018-09-30,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,25,0.0,1.0,-13038.0,-41532.0,34.9,PARNA DA CHAPADA DA DIAMANTINA
2018-10-12,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-13201.0,-41.2,56.7,PARNA DA CHAPADA DA DIAMANTINA
2018-10-01,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,26,0.0,1.0,-13033.0,-41493.0,37.8,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13173.0,-41237.0,43.5,PARNA DA CHAPADA DA DIAMANTINA
2018-03-04,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12841.0,-41484.0,10.7,PARNA DA CHAPADA DA DIAMANTINA
2018-07-19,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,83,0.0,1.0,-12571.0,-41303.0,13.7,PARNA DA CHAPADA DA DIAMANTINA
2018-08-09,AQUA_M-T,Brasil,BAHIA,NOVA REDENCAO,Caatinga,36,0.0,1.0,-12813.0,-41254.0,17.4,PARNA DA CHAPADA DA DIAMANTINA
2018-08-15,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0.0,1.0,-12615.0,-41541.0,96.0,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13182.0,-41236.0,83.6,PARNA DA CHAPADA DA DIAMANTINA
2018-10-27,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,5,2.2,1.0,-12667.0,-41503.0,49.8,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,21,0.0,1.0,-13172.0,-41228.0,57.1,PARNA DA CHAPADA DA DIAMANTINA
2018-10-15,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,22,0.6,1.0,-13174.0,-41244.0,95.2,PARNA DA CHAPADA DA DIAMANTINA
2018-09-30,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,25,0.0,1.0,-13039.0,-41545.0,15.6,PARNA DA CHAPADA DA DIAMANTINA
2018-11-20,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,1.0,-13142.0,-41362.0,28.7,PARNA DA CHAPADA DA DIAMANTINA
2018-08-15,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0.0,1.0,-12613.0,-41535.0,89.6,PARNA DA CHAPADA DA DIAMANTINA
2018-03-04,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.0,1.0,-12813.0,-41478.0,12.2,PARNA DA CHAPADA DA DIAMANTINA
2018-09-03,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,106,0.0,1.0,-13197.0,-41099.0,11.7,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-13188.0,-41207.0,17.6,PARNA DA CHAPADA DA DIAMANTINA
2018-10-12,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,47,0.0,1.0,-12.44,-41.31,22.5,PARNA DA CHAPADA DA DIAMANTINA
2018-10-14,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,22,0.0,1.0,-13.18,-41217.0,24.9,PARNA DA CHAPADA DA DIAMANTINA
